id	score	per
sin_1	0.057864	4.00
sin_2	0.061335	4.00
sin_3	0.039367	4.00
sin_4	0.057864	4.00
sin_5	0.057864	4.00
sin_6	0.042842	4.00
sin_7	0.050560	4.00
sin_8	0.042842	4.00
sin_9	0.061335	4.00
sin_10	0.039367	4.00
sin_11	0.057864	4.00
sin_12	0.061335	4.00
sin_13	0.055027	4.00
sin_14	0.051532	4.00
sin_15	0.057864	4.00
sin_16	0.050560	4.00
sin_17	0.061335	4.00
sin_18	0.057864	4.00
sin_19	0.051532	4.00
sin_20	0.057864	4.00
sin_21	0.061335	4.00
sin_22	0.051532	4.00
sin_23	0.055027	4.00
sin_24	0.057864	4.00
sin_25	0.039367	4.00
sin_26	0.055027	4.00
sin_27	0.057864	4.00
sin_28	0.050560	4.00
sin_29	0.057864	4.00
sin_30	0.061335	4.00
sin_31	0.061335	4.00
sin_32	0.050560	4.00
sin_33	0.057864	4.00
sin_34	0.061335	4.00
sin_35	0.039367	4.00
sin_36	0.061335	4.00
sin_37	0.055027	4.00
sin_38	0.042842	4.00
sin_39	0.042842	4.00
sin_40	0.057864	4.00
sin_41	0.057864	4.00
sin_42	0.039367	4.00
sin_43	0.039367	4.00
sin_44	0.039367	4.00
sin_45	0.042842	4.00
sin_46	0.061335	4.00
sin_47	0.061335	4.00
sin_48	0.042842	4.00
sin_49	0.050560	4.00
sin_50	0.051532	4.00
sin_51	0.057864	4.00
sin_52	0.061335	4.00
sin_53	0.042842	4.00
sin_54	0.061335	4.00
sin_55	0.050560	4.00
sin_56	0.042842	4.00
sin_57	0.042842	4.00
sin_58	0.050560	4.00
sin_59	0.061335	4.00
sin_60	0.050560	4.00
sin_61	0.061335	4.00
sin_62	0.057864	4.00
sin_63	0.051532	4.00
sin_64	0.050560	4.00
sin_65	0.050560	4.00
sin_66	0.039367	4.00
sin_67	0.057864	4.00
sin_68	0.051532	4.00
sin_69	0.050560	4.00
sin_70	0.061335	4.00
sin_71	0.042842	4.00
sin_72	0.050560	4.00
sin_73	0.042842	4.00
sin_74	0.057864	4.00
sin_75	0.061335	4.00
sin_76	0.057864	4.00
sin_77	0.061335	4.00
sin_78	0.057864	4.00
sin_79	0.061335	4.00
sin_80	0.061335	4.00
sin_81	0.057864	4.00
sin_82	0.051532	4.00
sin_83	0.039367	4.00
sin_84	0.057864	4.00
sin_85	0.039367	4.00
sin_86	0.057864	4.00
sin_87	0.042842	4.00
sin_88	0.057864	4.00
sin_89	0.055027	4.00
sin_90	0.050560	4.00
sin_91	0.050560	4.00
sin_92	0.050560	4.00
sin_93	0.057864	4.00
sin_94	0.039367	4.00
sin_95	0.050560	4.00
sin_96	0.051532	4.00
sin_97	0.050560	4.00
sin_98	0.051532	4.00
sin_99	0.050560	4.00
sin_100	0.057864	4.00
sin_101	0.051532	4.00
sin_102	0.061335	4.00
sin_103	0.057864	4.00
sin_104	0.055027	4.00
sin_105	0.051532	4.00
sin_106	0.042842	4.00
sin_107	0.055027	4.00
sin_108	0.057864	4.00
sin_109	0.061335	4.00
sin_110	0.051532	4.00
sin_111	0.055027	4.00
sin_112	0.042842	4.00
sin_113	0.050560	4.00
sin_114	0.057864	4.00
sin_115	0.050560	4.00
sin_116	0.057864	4.00
sin_117	0.057864	4.00
sin_118	0.061335	4.00
sin_119	0.042842	4.00
sin_120	0.051532	4.00
sin_121	0.055027	4.00
sin_122	0.042842	4.00
sin_123	0.042842	4.00
sin_124	0.057864	4.00
sin_125	0.042842	4.00
sin_126	0.051532	4.00
sin_127	0.051532	4.00
sin_128	0.042842	4.00
sin_129	0.042842	4.00
sin_130	0.051532	4.00
sin_131	0.050560	4.00
