id	score	per
sin_1	0.088582	3.00
sin_2	0.049382	3.00
sin_3	0.085124	3.00
sin_4	0.059372	3.00
sin_5	0.034068	3.00
sin_6	0.079468	3.00
sin_7	0.038670	3.00
sin_8	0.040242	3.00
sin_9	0.028285	3.00
sin_10	0.039367	3.00
sin_11	0.047991	3.00
sin_12	0.053319	3.00
sin_13	0.074311	3.00
sin_14	0.033368	3.00
sin_15	0.028942	3.00
sin_16	0.062936	3.00
sin_17	0.065634	3.00
sin_18	0.125762	3.00
sin_19	0.101254	3.00
sin_20	0.036573	3.00
sin_21	0.016432	3.00
sin_22	0.059353	3.00
sin_23	0.098197	3.00
sin_24	0.074461	3.00
sin_25	0.021511	3.00
sin_26	0.140078	3.00
sin_27	0.058035	3.00
sin_28	0.155970	3.00
sin_29	0.068027	3.00
sin_30	0.108459	3.00
sin_31	0.042668	3.00
sin_32	0.216831	3.00
sin_33	0.024827	3.00
sin_34	0.088369	3.00
sin_35	0.111061	3.00
sin_36	0.018030	3.00
sin_37	0.039381	3.00
sin_38	0.070277	3.00
sin_39	0.026010	3.00
sin_40	0.092618	3.00
sin_41	0.058204	3.00
sin_42	0.095695	3.00
sin_43	0.020442	3.00
sin_44	0.038520	3.00
sin_45	0.095783	3.00
sin_46	0.034929	3.00
sin_47	0.071156	3.00
sin_48	0.036034	3.00
sin_49	0.041121	3.00
sin_50	0.025683	3.00
sin_51	0.025132	3.00
sin_52	0.064315	3.00
sin_53	0.036975	3.00
sin_54	0.062920	3.00
sin_55	0.088298	3.00
sin_56	0.072570	3.00
sin_57	0.027631	3.00
sin_58	0.082294	3.00
sin_59	0.075298	3.00
sin_60	0.076864	3.00
sin_61	0.090586	3.00
sin_62	0.069029	3.00
sin_63	0.143730	3.00
sin_64	0.131184	3.00
sin_65	0.116142	3.00
sin_66	0.046933	3.00
sin_67	0.043351	3.00
sin_68	0.032175	3.00
sin_69	0.077411	3.00
sin_70	0.071465	3.00
sin_71	0.092415	3.00
sin_72	0.046555	3.00
sin_73	0.079662	3.00
sin_74	0.140244	3.00
sin_75	0.096985	3.00
sin_76	0.097228	3.00
sin_77	0.180899	3.00
sin_78	0.049726	3.00
sin_79	0.070722	3.00
sin_80	0.084734	3.00
sin_81	0.040505	3.00
sin_82	0.031197	3.00
sin_83	0.056477	3.00
sin_84	0.057362	3.00
sin_85	0.055935	3.00
sin_86	0.032310	3.00
sin_87	0.064178	3.00
sin_88	0.135212	3.00
sin_89	0.015825	3.00
sin_90	0.036973	3.00
sin_91	0.045246	3.00
sin_92	0.297043	3.00
sin_93	0.107256	3.00
sin_94	0.032980	3.00
sin_95	0.079502	3.00
sin_96	0.034445	3.00
sin_97	0.035100	3.00
sin_98	0.143509	3.00
sin_99	0.037987	3.00
sin_100	0.037077	3.00
sin_101	0.068294	3.00
sin_102	0.050458	3.00
sin_103	0.061006	3.00
sin_104	0.204909	3.00
sin_105	0.028282	3.00
sin_106	0.030057	3.00
sin_107	0.065650	3.00
sin_108	0.052863	3.00
sin_109	0.057045	3.00
sin_110	0.128091	3.00
sin_111	0.027725	3.00
sin_112	0.238713	3.00
sin_113	0.058360	3.00
sin_114	0.075602	3.00
sin_115	0.026011	3.00
sin_116	0.069048	3.00
sin_117	0.039740	3.00
sin_118	0.185261	3.00
sin_119	0.056022	3.00
sin_120	0.102139	3.00
sin_121	0.032317	3.00
sin_122	0.039481	3.00
sin_123	0.107718	3.00
sin_124	0.067448	3.00
sin_125	0.073645	3.00
sin_126	0.042127	3.00
sin_127	0.072640	3.00
sin_128	0.077550	3.00
sin_129	0.125283	3.00
sin_130	0.047852	3.00
sin_131	0.035598	3.00
sin_132	0.182254	3.00
sin_133	0.035418	3.00
sin_134	0.091021	3.00
sin_135	0.027508	3.00
sin_136	0.026182	3.00
sin_137	0.024177	3.00
sin_138	0.079629	3.00
sin_139	0.056235	3.00
sin_140	0.025148	3.00
sin_141	0.111983	3.00
sin_142	0.039665	3.00
sin_143	0.075190	3.00
sin_144	0.030834	3.00
sin_145	0.101142	3.00
sin_146	0.045175	3.00
sin_147	0.067183	3.00
sin_148	0.035138	3.00
sin_149	0.119390	3.00
sin_150	0.074646	3.00
sin_151	0.051400	3.00
sin_152	0.029083	3.00
sin_153	0.053371	3.00
sin_154	0.081992	3.00
sin_155	0.162424	3.00
sin_156	0.173360	3.00
sin_157	0.081080	3.00
sin_158	0.058906	3.00
sin_159	0.030200	3.00
sin_160	0.111744	3.00
sin_161	0.050738	3.00
sin_162	0.020970	3.00
sin_163	0.023892	3.00
sin_164	0.045465	3.00
sin_165	0.067974	3.00
sin_166	0.049623	3.00
sin_167	0.063769	3.00
sin_168	0.058027	3.00
sin_169	0.155449	3.00
sin_170	0.026005	3.00
sin_171	0.042887	3.00
sin_172	0.024754	3.00
sin_173	0.048147	3.00
sin_174	0.036900	3.00
sin_175	0.059718	3.00
sin_176	0.020328	3.00
sin_177	0.013856	3.00
sin_178	0.083569	3.00
sin_179	0.072367	3.00
sin_180	0.042222	3.00
sin_181	0.052360	3.00
sin_182	0.044559	3.00
sin_183	0.077953	3.00
sin_184	0.169491	3.00
sin_185	0.099793	3.00
sin_186	0.060180	3.00
sin_187	0.023083	3.00
sin_188	0.028050	3.00
sin_189	0.071707	3.00
sin_190	0.036693	3.00
sin_191	0.247097	3.00
sin_192	0.035821	3.00
sin_193	0.112266	3.00
sin_194	0.042396	3.00
sin_195	0.137930	3.00
sin_196	0.027961	3.00
sin_197	0.050428	3.00
sin_198	0.092836	3.00
